Date,Amount,Currency,Status,"Bank Account Ending Digits"
"July 3, 2025",116.58,USD,Executed,3517
"July 7, 2025",88.49,USD,Executed,3517
"July 14, 2025",16.14,USD,Executed,3517
"July 21, 2025",75.74,USD,Executed,3517
"August 5, 2025",66.68,USD,Executed,3517
"August 6, 2025",30.68,USD,Executed,3517
"August 7, 2025",74.25,USD,Executed,3517
"August 12, 2025",25.65,USD,Executed,3517
"August 14, 2025",34.29,USD,Executed,3517
"August 15, 2025",127.92,USD,Executed,3517
"August 20, 2025",49.15,USD,Executed,3517
"August 25, 2025",24.75,USD,Executed,3517
"September 3, 2025",31.38,USD,Executed,3517
"September 5, 2025",55.81,USD,Executed,3517
"September 8, 2025",121.05,USD,Executed,3517
"September 10, 2025",53.07,USD,Executed,3517
"September 11, 2025",73.78,USD,Executed,3517
"September 12, 2025",57.17,USD,Executed,3517
"September 15, 2025",50.56,USD,Executed,3517
"September 16, 2025",80.47,USD,Executed,3517
"September 17, 2025",35.29,USD,Executed,3517
"September 22, 2025",92.62,USD,Executed,3517
"September 23, 2025",39.72,USD,Executed,3517
"September 24, 2025",127.97,USD,Executed,3517
"September 26, 2025",34.33,USD,Executed,3517
"September 29, 2025",50.67,USD,Executed,3517
